judul,penulis,penerbit,isbn,tahun_terbit,rak,kategori,harga_ganti,stok,deskripsi
Bahasa Indonesia SMP/MTs Kelas IX,"Atikah Anindyarini, Yuwono, Suhartanto",Departemen Pendidikan Nasional,9794629375,2008,Kelas IX,Buku Paket Kelas IX,75000,34,Bahasa Indonesia SMP/MTs Kelas IX
Mari Belajar IPA 3,"Elok Sudibyo, Wahono Widodo, Wasis, Dwi Suhartanti",Departemen Pendidikan Nasional,9794629804,2008,Kelas IX,Buku Paket Kelas IX,75000,26,Mari Belajar IPA 3
Akidah Akhlak Buku Guru,"Ahmad Syauqil, Adib",Kementerian Agama,9786022930709,2016,Kelas IX,Buku Paket Kelas IX,75000,1,Akidah Akhlak Buku Guru
Matematika SMP Jilid 3 Semester 2,M.Cholik Adinawan,Erlangga,9786022419112,2017,Kelas IX,Buku Paket Kelas IX,75000,1,Matematika SMP Jilid 3 Semester 2
Ilmu Pengetahuan Sosial Untuk SMP/MTs Kelas IX,"N.Suparno, T.D Haryo Tamtono",Erlangga,9786022542216,2016,Kelas IX,Buku Paket Kelas IX,75000,3,Ilmu Pengetahuan Sosial Untuk SMP/MTs Kelas IX
Matematika SMP Jilid 3 Semester 1,"M.Cholik Adinawan, Sugijono",Erlangga,9786022414506,2013,Kelas IX,Buku Paket Kelas IX,75000,1,Matematika SMP Jilid 3 Semester 1
Pengetahuan Sosial Geografi,"Kuswanto, Suparman, Fatimah",PT Tiga Serangkai Pustaka Mandiri,979668778x,2004,Kelas IX,Buku Paket Kelas IX,75000,3,Pengetahuan Sosial Geografi
Ayo Memahami Fiqih Untuk Kelas IX,"Jamhari, Tasimin",Erlangga,9786232660496,2021,Kelas IX,Buku Paket Kelas IX,75000,1,Ayo Memahami Fiqih Untuk Kelas IX
Buku Guru Bahasa Indonesia,"Agus Trianto, Titik Harsiati, E.Kosasih",Kementerian Pendidikan Dan Kebudyaan,9786022829751,2018,Kelas IX,Buku Paket Kelas IX,75000,2,Buku Guru Bahasa Indonesia
Pengetahuan Sosial Ekonomi,"Suroso, Rendro Adi Widigjo",PT Tiga Serangkai Pustaka Mandiri,9796687941,2004,Kelas IX,Buku Paket Kelas IX,75000,2,Pengetahuan Sosial Ekonomi
PPKn Berbasis Budi Pekerti dan Pwndidikan Politik,"Ridwan Effendi, Warlim Isya, Sukandi",PT Sarana Panca Karya Nusa,9796784041,2001,Kelas IX,Buku Paket Kelas IX,75000,1,PPKn Berbasis Budi Pekerti dan Pwndidikan Politik
Seni Budaya Untuk SMP/MTs Kelas IX ,"Sugiyanto, Setyobudi, Dyah Purwani Setianingsih, Siswandi",Erlangga,9786024342845,2017,Kelas IX,Buku Paket Kelas IX,75000,2,Seni Budaya Untuk SMP/MTs Kelas IX 
Belajar Aktif Fisika Untuk SLTP Kelas 3,Suryana,Departemen Pendidikan Nasional,9794626864,2002,Kelas IX,Buku Paket Kelas IX,75000,1,Belajar Aktif Fisika Untuk SLTP Kelas 3
Contextual Teaching and Learning Pendidikan Kewarganegaraan SMP/MTs Kelas IX,Sugeng Priyanto dkk,Pusat Perbukuan Departemen Pendidikan Nasional,9794624586,2008,Kelas IX,Buku Paket Kelas IX,75000,2,Contextual Teaching and Learning Pendidikan Kewarganegaraan SMP/MTs Kelas IX
Konsep dan Penerapan Sains dan Biologi Jilid 3a,Sunarto dkk,PT Tiga Serangkai Pustaka Mandiri,9796686341,2004,Kelas IX,Buku Paket Kelas IX,75000,1,Konsep dan Penerapan Sains dan Biologi Jilid 3a
PENJASORKES 3 SMP/MTs,"Surtiyo Utomo, Suwandi",PT Bumi Aksara,9789790101289,2008,Kelas IX,Buku Paket Kelas IX,75000,7,PENJASORKES 3 SMP/MTs
Tonggak Sejarah Kebudayaan Islam Untuk Kelas 3 MTs,"Darsono, T Ibrahim",PT Tiga Serangkai Pustaka Mandiri,9796684217,2003,Kelas IX,Buku Paket Kelas IX,75000,1,Tonggak Sejarah Kebudayaan Islam Untuk Kelas 3 MTs
Konsep dan Penerapan Sains Fisika Jilid 3a,Budi Purwanto,PT Tiga Serangkai Pustaka Mandiri,9796686481,2004,Kelas IX,Buku Paket Kelas IX,75000,1,Konsep dan Penerapan Sains Fisika Jilid 3a
Matematika SMP/MTs Kelas IX,"Marsudi Raharjo, Andri Setiawan",Erlangga,9786024347437,2018,Kelas IX,Buku Paket Kelas IX,75000,1,Matematika SMP/MTs Kelas IX
Fasih Berbahasa Arab Untuk Kelas 3,"Darsono, T Ibrahim",PT Tiga Serangkai Pustaka Mandiri,9796684179,2003,Kelas IX,Buku Paket Kelas IX,75000,1,Fasih Berbahasa Arab Untuk Kelas 3
Kerajinan Tangan dan Kesenian Untuk Kelas 3 SLTP,"A.Hamid, L.Julius Juih, Sunantini, Eko Purnomo",Yudhistira,9794538108,1996,Kelas IX,Buku Paket Kelas IX,75000,1,Kerajinan Tangan dan Kesenian Untuk Kelas 3 SLTP
Seribu Pena Matematika Jilid 3 Untuk SMP Kelas IX,"M.Cholik Adinawan, Sugijono",Erlangga,9789790332775,2008,Kelas IX,Buku Paket Kelas IX,75000,1,Seribu Pena Matematika Jilid 3 Untuk SMP Kelas IX
Ilmu Pengetahuan Alam 3 Untuk Kelas IX,"Daroji, Haryati",PT Tiga Serangkai Pustaka Mandiri,9789790847279,2012,Kelas IX,Buku Paket Kelas IX,75000,1,Ilmu Pengetahuan Alam 3 Untuk Kelas IX
Pendidikan Pancasila dan Kewarganegaraan,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786022829638,2018,Kelas IX,Buku Paket Kelas IX,75000,3,Pendidikan Pancasila dan Kewarganegaraan
Buku Guru Pendidikan Pancasila dan Kewarganegaraan,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786022829676,2019,Kelas IX,Buku Paket Kelas IX,75000,1,Buku Guru Pendidikan Pancasila dan Kewarganegaraan
Ilmu Pengetahuan Sosial SMP/MTs Kelas 3,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786024270100,2018,Kelas IX,Buku Paket Kelas IX,75000,3,Ilmu Pengetahuan Sosial SMP/MTs Kelas 3
Seni Budaya SMP/MTs Kelas 3,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786022823384,2018,Kelas IX,Buku Paket Kelas IX,75000,5,Seni Budaya SMP/MTs Kelas 3
Pendidikan Lingkungan Hidup Untuk SMP/MTs Kelas IX,"Mohamad Abas, Endang Haris, Zaenal Aripin",Erlangga,9789790755338,2010,Kelas IX,Buku Paket Kelas IX,75000,9,Pendidikan Lingkungan Hidup Untuk SMP/MTs Kelas IX
Pengetahuan Sosial Sejarah Untuk Kelas 3 SMP/MTs,"Suparman, Kuswanto, Fatimah",PT Tiga Serangkai Pustaka Mandiri,9796687860,2004,Kelas IX,Buku Paket Kelas IX,75000,13,Pengetahuan Sosial Sejarah Untuk Kelas 3 SMP/MTs
Learning More Art & Culture 3,Yuliawan Kasmahidayat dkk,Grafindo Media Pratama,9786020015149,2011,Kelas IX,Buku Paket Kelas IX,75000,53,Learning More Art & Culture 3
Buku Guru Matematika SMP/MTs Kelas IX,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786022820864,2015,Kelas IX,Buku Paket Kelas IX,75000,2,Buku Guru Matematika SMP/MTs Kelas IX
Matematika SMP/MTs Kelas IX Semester 1,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786022820956,2015,Kelas IX,Buku Paket Kelas IX,75000,47,Matematika SMP/MTs Kelas IX Semester 1
Matematika SMP/MTs Kelas IX Semester 2,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786022820956,2015,Kelas IX,Buku Paket Kelas IX,75000,54,Matematika SMP/MTs Kelas IX Semester 2
Matematika SMP Jilid 3A Kelas IX Semester 1,M.Cholik Adinawan,Erlangga,9786022419105,2017,Kelas IX,Buku Paket Kelas IX,75000,21,Matematika SMP Jilid 3A Kelas IX Semester 1
Bahasa Inggris Think Globally Act Locally,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786022829799,2018,Kelas IX,Buku Paket Kelas IX,75000,7,Bahasa Inggris Think Globally Act Locally
Buku Guru Bahasa Inggris Think Globally Act Locally,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786022820185,2015,Kelas IX,Buku Paket Kelas IX,75000,1,Buku Guru Bahasa Inggris Think Globally Act Locally
Bahasa Inggris Think Globally Act Locally,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786021530610,2015,Kelas IX,Buku Paket Kelas IX,75000,5,Bahasa Inggris Think Globally Act Locally
"Pendidikan Jasmani, Olahraga, dan Kesehatan SMP/MTs Kelas IX",Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786024270186,2018,Kelas IX,Buku Paket Kelas IX,75000,14,"Pendidikan Jasmani, Olahraga, dan Kesehatan SMP/MTs Kelas IX"
"Pendidikan Jasmani, Olahraga, dan Kesehatan SMP/MTs Kelas IX",Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786021530788,2015,Kelas IX,Buku Paket Kelas IX,75000,9,"Pendidikan Jasmani, Olahraga, dan Kesehatan SMP/MTs Kelas IX"
Pelajaran Bahasa Arab MTs Kelas IX,Dr.D Hidayat,PT Karya Toha Putra,9786027718678,2016,Kelas IX,Buku Paket Kelas IX,75000,36,Pelajaran Bahasa Arab MTs Kelas IX
Fikih MTs Kelas IX Semester 1 Dan 2,Tatang Ibrahim,CV Armico,9789797276898,2009,Kelas IX,Buku Paket Kelas IX,75000,4,Fikih MTs Kelas IX Semester 1 Dan 2
Akidah Akhlak MTs Kelas IX Semester 1 Dan 2,"H.A Wahid, Sy.",CV Armico,9789797276775,2009,Kelas IX,Buku Paket Kelas IX,75000,20,Akidah Akhlak MTs Kelas IX Semester 1 Dan 2
Sejarah Kebudayaan Islam MTs Kelas IX Semester 1 Dan 2,Tatang Ibrahim,CV Armico,9789797276935,2009,Kelas IX,Buku Paket Kelas IX,75000,98,Sejarah Kebudayaan Islam MTs Kelas IX Semester 1 Dan 2
Matematika SMP/MTs Kelas IX,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786022829898,2018,Kelas IX,Buku Paket Kelas IX,75000,1,Matematika SMP/MTs Kelas IX
Ilmu Pengetahuan Alam Semester 2SMP/MTs Kelas IX,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786022823209,2019,Kelas IX,Buku Paket Kelas IX,75000,2,Ilmu Pengetahuan Alam Semester 2SMP/MTs Kelas IX
Prakarya SMP/MTs Kelas IX Semester 1,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786024270360,2018,Kelas IX,Buku Paket Kelas IX,75000,17,Prakarya SMP/MTs Kelas IX Semester 1
Prakarya SMP/MTs Kelas IX Semester 2,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786024270377,2018,Kelas IX,Buku Paket Kelas IX,75000,15,Prakarya SMP/MTs Kelas IX Semester 2
Ilmu Pengetahuan Alam Untuk SMP/MTS Kelas VII,Teguh Sugiyarto & Eny Ismiawati,Pusat Perbukuan Depertemen Pendidikan Nasional ,9794626023,2008,Kelas VII,Buku Paket Kelas VII,75000,2,Ilmu Pengetahuan Alam Untuk SMP/MTS Kelas VII
Pendidikan Lingkungan Hidup Untuk Kelas VII SMP & MTS,"Syamsudin, dkk",PT Tiga Serangkai Pustaka Mandiri,9789790455641,2013,Kelas VII,Buku Paket Kelas VII,75000,1,Pendidikan Lingkungan Hidup Untuk Kelas VII SMP & MTS
Pendidikan Lingkungan Hidup Untuk Kelas VII SMP & MTS,M. Abas dkk,Penerbit Erlangga,9789790755314,2010,Kelas VII,Buku Paket Kelas VII,75000,1,Pendidikan Lingkungan Hidup Untuk Kelas VII SMP & MTS
Pengetahuan Sosial Geografi Jilid 1 untuk kelas 1 SMP atAU MTS,"Drs. Kuswanto, M.M.dkk",PT Tiga Serangkai Pustaka Mandiri,9789796687763,2004,Kelas VII,Buku Paket Kelas VII,75000,3,Pengetahuan Sosial Geografi Jilid 1 untuk kelas 1 SMP atAU MTS
Prakarya untuk SMP/MTS Kelas 7,"Sugianto, dkk",Penerbit Erlangga,9786024342876,2017,Kelas VII,Buku Paket Kelas VII,75000,2,Prakarya untuk SMP/MTS Kelas 7
IPS (Ilmu Pengetahuan Sosial) untuk SMP/MTS Kelas VII,"Y.Sri Pujiastuti, dkk",Penerbit Erlangga,9786022540571,2013,Kelas VII,Buku Paket Kelas VII,75000,6,IPS (Ilmu Pengetahuan Sosial) untuk SMP/MTS Kelas VII
Pengetahuan Sosial Sejarah Jilid 1 Untuk Kelas 1 SMP & MTS,"Drs. Suparman, dkk",PT Tiga Serangkai Pustaka Mandiri,9796687844,2004,Kelas VII,Buku Paket Kelas VII,75000,2,Pengetahuan Sosial Sejarah Jilid 1 Untuk Kelas 1 SMP & MTS
IPS Terpadu Untuk SMP Kelas VII Jilid 1A,Tim Abdi Guru,Penerbit Erlangga,9789790151437,2006,Kelas VII,Buku Paket Kelas VII,75000,7,IPS Terpadu Untuk SMP Kelas VII Jilid 1A
Pengetahuan Sosial Ekonomi Untuk Kelas 1 SMP/MTS,Suroso & Rendro Adi Widigdo,PT Tiga Serangkai Pustaka Mandiri,9789796687923,2004,Kelas VII,Buku Paket Kelas VII,75000,4,Pengetahuan Sosial Ekonomi Untuk Kelas 1 SMP/MTS
Pendidikan Pancasila dan  kewarganegaraan Untuk SMP/MTS Kelas VII,Sri Tutik Cahya Ningsih,Penerbit Erlangga,9786022540366,2013,Kelas VII,Buku Paket Kelas VII,75000,4,Pendidikan Pancasila dan  kewarganegaraan Untuk SMP/MTS Kelas VII
Matematika Konsep dan Aplikasinya,Dewi Nuharini & Tri Wahyuni,Pusat Perbukuan Depertemen Pendidikan Nasional ,9794629987,2008,Kelas VII,Buku Paket Kelas VII,75000,6,Matematika Konsep dan Aplikasinya
Matematika Semester 1,Kemendikbud,Kemendikbud,9786022823520,2014,Kelas VII,Buku Paket Kelas VII,75000,1,Matematika Semester 1
IPA Terpadu ,Tim Abdi Guru,Penerbit Erlangga,9786022414537,2013,Kelas VII,Buku Paket Kelas VII,75000,1,IPA Terpadu 
Buku Penilaian BUPENA English,Nur Zaida,Penerbit Erlangga,9786024347819,2018,Kelas VII,Buku Paket Kelas VII,75000,2,Buku Penilaian BUPENA English
Sukses Belajar Ilmu Pengetahuan Alam,Daroji & Haryati,PT Tiga Serangkai Pustaka Mandiri,9789790184176,2007,Kelas VII,Buku Paket Kelas VII,75000,1,Sukses Belajar Ilmu Pengetahuan Alam
BRIGHT An English Course for Junior High School Student,Nur Zaida,Penerbit Erlangga,9786022414117,2013,Kelas VII,Buku Paket Kelas VII,75000,4,BRIGHT An English Course for Junior High School Student
IPA Terpadu ,Tim Inspirasi Guru,PT Masmedia Buana Pustaka'9786022322122,9786022322122,2013,Kelas VII,Buku Paket Kelas VII,75000,1,IPA Terpadu 
BRIGHT An English Course for Junior High School Student,Nur Zaida,Penerbit Erlangga,9786022418726,2014,Kelas VII,Buku Paket Kelas VII,75000,1,BRIGHT An English Course for Junior High School Student
Experiencing English,Tim Masmedia Buana Pustaka,PT Masmedia Buana Pustaka'9786022322122,9786022321835,2014,Kelas VII,Buku Paket Kelas VII,75000,1,Experiencing English
English Way,Mulyono,Quadra,9786023014132,2017,Kelas VII,Buku Paket Kelas VII,75000,1,English Way
MARBI Mahir Berbahasa Indonesia,Tim Edukatif,Penerbit Erlangga,9786022418115,2013,Kelas VII,Buku Paket Kelas VII,75000,1,MARBI Mahir Berbahasa Indonesia
Passport to The World,"Djatmika, dkk",PT Tiga Serangkai Pustaka Mandiri,9786023201426,2018,Kelas VII,Buku Paket Kelas VII,75000,1,Passport to The World
 Pembelajaran IPS,"Sardiman, dkk",PT Tiga Serangkai Pustaka Mandiri,9786023202751,2018,Kelas VII,Buku Paket Kelas VII,75000,1, Pembelajaran IPS
Bahasa Arab Madrasah Tsanawiyah Kelas VII,Dr.D Hidayat,PT Karya Toha Putra,9786027718654,2014,Kelas VII,Buku Paket Kelas VII,75000,1,Bahasa Arab Madrasah Tsanawiyah Kelas VII
Buku Guru Sejarah Kebudayaan Islam,Kementerian Agama,Kementerian Agama,9789798446788,2014,Kelas VII,Buku Paket Kelas VII,75000,21,Buku Guru Sejarah Kebudayaan Islam
Seni Budaya Untuk SMP/MTs KelasVII,Yuliawan Kasmahidayat,Grafindo Media Pratama,9786020118970,2017,Kelas VII,Buku Paket Kelas VII,75000,1,Seni Budaya Untuk SMP/MTs KelasVII
Buku Guru Prakarya,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudayaan,9786022823483,2014,Kelas VII,Buku Paket Kelas VII,75000,1,Buku Guru Prakarya
English On Sky 1,"Mukerto, Widya Kiswara, Sujatmiko Bambang Santoso, Josephine Sri Murwani",Penerbit Erlangga,9786024342159,2017,Kelas VII,Buku Paket Kelas VII,75000,1,English On Sky 1
Learning More English 1,"Ai Siti Djamilah, Titie K.Surtiyah, Anwar Sofyanda",Facil,9786020103402,2013,Kelas VII,Buku Paket Kelas VII,75000,1,Learning More English 1
Penjasorkes 1 SMP/MTs,"Surtiyo Utomo, Suwandi",Bumi Aksara,9790101260,2008,Kelas VII,Buku Paket Kelas VII,75000,2,Penjasorkes 1 SMP/MTs
Mahir Berbahasa Indonesia Untuk SMP/MTs Kelas VII,Tim Edukatif,Penerbit Erlangga,9786022989875,2016,Kelas VII,Buku Paket Kelas VII,75000,2,Mahir Berbahasa Indonesia Untuk SMP/MTs Kelas VII
Pembelajaran IPS Terpadu Untuk Kelas VII,"Sardiman, dkk",Platinum,9789790185043,2012,Kelas VII,Buku Paket Kelas VII,75000,1,Pembelajaran IPS Terpadu Untuk Kelas VII
Buku Guru Bahasa Indonesia Wahana Pengetahuan,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudayaan,9786022823902,2014,Kelas VII,Buku Paket Kelas VII,75000,1,Buku Guru Bahasa Indonesia Wahana Pengetahuan
Ayo Memahami Sejarah Kebudayaan Islam Untuk MTs Kelas VII,"Mahrus As'ad, Adad Nursahad",Penerbit Erlangga,9786024869601,2020,Kelas VII,Buku Paket Kelas VII,75000,1,Ayo Memahami Sejarah Kebudayaan Islam Untuk MTs Kelas VII
Bahasa Indonesia Wahana Pengetahuan Kelas VII,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudayaan,9786022823865,2014,Kelas VII,Buku Paket Kelas VII,75000,1,Bahasa Indonesia Wahana Pengetahuan Kelas VII
Seni Budaya Banten Untuk Kelas VII SMP/MTs,Firman Sapardani dkk,PT Tiga Serangkai Pustaka Mandiri,9789790454712,2010,Kelas VII,Buku Paket Kelas VII,75000,1,Seni Budaya Banten Untuk Kelas VII SMP/MTs
Bahasa Indonesia Untuk SMP Kelas VII,"Putri Amari, Indah Amijati Ardy",Quadra,9789790547490,2014,Kelas VII,Buku Paket Kelas VII,75000,1,Bahasa Indonesia Untuk SMP Kelas VII
Mari Belajar IPS Untuk SMP/MTs Kelas VII,"Muh. Nurdin, S.W Warsito, Muh Nursa'ban",Pusat Perbukuan Depertemen Pendidikan Nasional ,9794629812,2008,Kelas VII,Buku Paket Kelas VII,75000,1,Mari Belajar IPS Untuk SMP/MTs Kelas VII
Fasih Berbahasa Arab Untuk Kelas 1,"H.Darsono, T.Ibrahim",PT Tiga Serangkai Pustaka Mandiri,9796684152,2003,Kelas VII,Buku Paket Kelas VII,75000,2,Fasih Berbahasa Arab Untuk Kelas 1
Fikih,Kementerian Agama,Kementerian Agama,9789798446627,2014,Kelas VII,Buku Paket Kelas VII,75000,118,Fikih
Buku Guru Akidah Akhlak,Kementerian Agama,Kementerian Agama,9789798446679,2014,Kelas VII,Buku Paket Kelas VII,75000,9,Buku Guru Akidah Akhlak
Buku Guru Fiqih,Kementerian Agama,Kementerian Agama,9789798446641,2014,Kelas VII,Buku Paket Kelas VII,75000,7,Buku Guru Fiqih
Ilmu Pengetahuan Alam Semester 1,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudayaan,9786024270018,2017,Kelas VII,Buku Paket Kelas VII,75000,56,Ilmu Pengetahuan Alam Semester 1
Ilmu Pengetahuan Alam Semester 2,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudayaan,9786024270025,2017,Kelas VII,Buku Paket Kelas VII,75000,64,Ilmu Pengetahuan Alam Semester 2
Learning More Art & Culture 1,Yuliawan Kasmahidayat dkk,Grafindo Media Pratama,9786020015125,2011,Kelas VII,Buku Paket Kelas VII,75000,102,Learning More Art & Culture 1
Sejarah Kebudayaan Islam,Tim Penyusun Kementerian Agama,"Direktorat pendidikan Madrasah,Direktorat Jenderal Pendidikan Islam,Kementerian Agama Republik Indonesia",9789798446764,2014,Kelas VII,Buku Paket Kelas VII,75000,11,Sejarah Kebudayaan Islam
Bright English Course SMP\MTs ,Nur Zaida,Erlangga,9786022414117,2013,Kelas VII,Buku Paket Kelas VII,75000,26,Bright English Course SMP\MTs 
Ilmu Pengetahuan Sosial,"Drs. K.Wardiyatmoko,M.M.",Erlangga,9789790159594,2009,Kelas VII,Buku Paket Kelas VII,75000,7,Ilmu Pengetahuan Sosial
Pengetahuan Sosial Geografi,"Drs. Kuswanto,M.M.,dkk",PT Tiga Serangkai Pustaka Mandiri,9796687763,2004,Kelas VII,Buku Paket Kelas VII,75000,4,Pengetahuan Sosial Geografi
Pendidikan Lingkungan Hidup kls VII,"Drs. Mohamad Abas,M.Pd.,dkk",Erlangga,9789790755314,2010,Kelas VII,Buku Paket Kelas VII,75000,7,Pendidikan Lingkungan Hidup kls VII
Bahasa Indonesia,"Atikah Anindyarini, Sri Ningsih",Pusat Perbukuan Departemen Pendidikan Nasional,9794629383,2008,Kelas VII,Buku Paket Kelas VII,75000,7,Bahasa Indonesia
Seni Budaya: Buku Guru,"Eko Purnomo,dkk","Pusat Kurikulum dan Perbukuan,Balitbang,Kemdikbud",9786024270285,2017,Kelas VII,Buku Paket Kelas VII,75000,1,Seni Budaya: Buku Guru
Pendidikan Agama Islam dan Budi Pekerti,"Muhammad Ahsan,dkk",CV Arya Duta,9786022829133,2017,Kelas VII,Buku Paket Kelas VII,75000,8,Pendidikan Agama Islam dan Budi Pekerti
Pedoman Al-Qur`an dan Hadis 1,"T.Ibrahim,H.Darsono",PT Tiga Serangkai Pustaka Mandiri,9786022577768,2014,Kelas VII,Buku Paket Kelas VII,75000,1,Pedoman Al-Qur`an dan Hadis 1
Al-Qur`an Hadis 1,Maman A.Djaliel,CV.Amrico,9789797276799,2008,Kelas VII,Buku Paket Kelas VII,75000,18,Al-Qur`an Hadis 1
FIKIH 1,Tatang Ibrahim,CV.Amrico,9789797276874,2008,Kelas VII,Buku Paket Kelas VII,75000,18,FIKIH 1
Akidah-Akhlak 1,H.A.Wahid Sy,CV.Amrico,9789797276751,2008,Kelas VII,Buku Paket Kelas VII,75000,15,Akidah-Akhlak 1
Pendidikan Pancasila dan Kewarganegaraan,"Dra. Sri Tutik Cahyaningsih,M.Pd.",Erlangga,9786022540366,2013,Kelas VII,Buku Paket Kelas VII,75000,17,Pendidikan Pancasila dan Kewarganegaraan
Bahasa Arab:Buku Guru,Tim Penyusun Kementerian Agama,Kementerian Agama,9789798446740,2014,Kelas VII,Buku Paket Kelas VII,75000,21,Bahasa Arab:Buku Guru
IPS Sejarah,"Drs. C.S.T. Kansil,SH",Erlangga,9794111961,1994,Kelas VII,Buku Paket Kelas VII,75000,12,IPS Sejarah
Bahasa Inggris,"Siti Wachidah,dkk","Pusat Kurikulum dan Perbukuan,Balitbang,Kemdikbud",9786022829775,2017,Kelas VII,Buku Paket Kelas VII,75000,107,Bahasa Inggris
Sejarah Kebudayaan Islam 1,Tatang Ibrahim,CV Amrico,9789797276911,2008,Kelas VII,Buku Paket Kelas VII,75000,84,Sejarah Kebudayaan Islam 1
Al-Qur`an Hadis ,Kementerian Agama,Kementerian Agama,9789798446580,2014,Kelas VII,Buku Paket Kelas VII,75000,116,Al-Qur`an Hadis 
Pendidikan Pancasila dan Kewarganegaraan,"Lukman Surya Saputra,dkk","Pusat Kurikulum dan Perbukuan,Balitbang,Kemdikbud",9786022829614,2017,Kelas VII,Buku Paket Kelas VII,75000,261,Pendidikan Pancasila dan Kewarganegaraan
Al-Qur`an Hadis: Buku Guru,Kementerian Agama,Kementerian Agama,9789798446603,2014,Kelas VII,Buku Paket Kelas VII,75000,28,Al-Qur`an Hadis: Buku Guru
"Bahasa Inggris,When English Rings the Bell:Buku Guru","Siti Wachidah,dkk",Kementerian Pendidikan dan Kebudayaan,9786022829812,2017,Kelas VII,Buku Paket Kelas VII,75000,1,"Bahasa Inggris,When English Rings the Bell:Buku Guru"
